DateTime,Entries,UniqueIPs
1581736827,5557,5557
1581738737,5557,5557
1581740712,5552,5552
1581742582,5553,5553
1581744496,5526,5526
1581747387,5534,5534
1581749314,5525,5525
1581751223,5484,5484
1581753135,5455,5455
1581755069,5426,5426
1581756974,5348,5348
1581758901,5212,5212
1581760982,5096,5096
1581762985,5030,5030
1581764900,4955,4955
1581766814,4877,4877
1581768757,4804,4804
1581770660,4727,4727
1581772593,4643,4643
1581774513,4498,4498
1581776420,4399,4399
1581778335,4319,4319
1581780314,4238,4238
1581782194,4149,4149
1581784107,4040,4040
1581786300,3953,3953
1581788188,3786,3786
1581790094,3707,3707
1581792012,3603,3603
1581793947,3521,3521
1581795855,3427,3427
1581797782,3338,3338
1581799712,3252,3252
1581801613,3134,3134
1581803544,3004,3004
1581805460,2923,2923
1581807384,2831,2831
1581809292,2737,2737
1581811375,2682,2682
1581813385,2616,2616
1581815304,2546,2546
1581817214,2458,2458
1581819150,2382,2382
1581821057,2267,2267
1581823128,2119,2119
1581825157,2030,2030
1581827081,1952,1952
1581828999,1850,1850
1581830895,1754,1754
1581832968,1660,1660
1581834976,1530,1530
1581836933,1415,1415
1581838813,1279,1279
1581840736,1124,1124
1581842670,1125,1125
1581844574,1122,1122
1581846496,1131,1131
1581848426,1126,1126
1581850343,1134,1134
1581852259,1144,1144
1581854196,1146,1146
1581856098,1162,1162
1581859003,1171,1171
1581860911,1170,1170
1581862831,1171,1171
1581864757,1174,1174
1581866661,1171,1171
1581868599,1167,1167
1581870509,1171,1171
1581872538,1166,1166
1581874371,1180,1180
1581876276,1185,1185
1581878173,1185,1185
1581880131,1189,1189
1581882016,1178,1178
1581883938,1176,1176
1581885873,1164,1164
1581887793,1171,1171
1581889947,1167,1167
1581891863,1172,1172
1581893790,1177,1177
1581895695,1165,1165
1581897903,1167,1167
1581899774,1168,1168
1581901713,1157,1157
1581903616,1163,1163
1581905551,1165,1165
1581907474,1161,1161
1581909399,1161,1161
1581911316,1163,1163
1581913229,1171,1171
1581915142,1153,1153
1581917063,1155,1155
1581919020,1149,1149
1581920900,1160,1160
1581923178,1157,1157
1581925005,1160,1160
1581926914,1177,1177
1581928829,1171,1171
1581930771,1180,1180
1581932693,1174,1174
1581934605,1193,1193
1581936515,1196,1196
1581938435,1186,1186
1581940337,1186,1186
1581942271,1183,1183
1581944205,1171,1171
1581946100,1175,1175
1581948353,1173,1173
1581950176,1172,1172
1581952139,1171,1171
1581954035,1167,1167
1581955999,1173,1173
1581957874,1169,1169
1581959782,1159,1159
1581961724,1139,1139
1581963634,1136,1136
1581965538,1149,1149
1581967481,1157,1157
1581969399,1158,1158
1581971300,1159,1159
1581973481,1156,1156
1581975385,1155,1155
1581977356,1158,1158
1581979218,1161,1161
1581981142,1164,1164
1581983079,1171,1171
1581984984,1176,1176
1581986916,1195,1195
1581988824,1199,1199
1581990777,1203,1203
1581992680,1199,1199
1581994572,1204,1204
1581996503,1223,1223
1581999614,1220,1220
1582001530,1234,1234
1582003481,1236,1236
1582005373,1242,1242
1582007296,1241,1241
1582009387,1242,1242
1582011395,1249,1249
1582013330,1326,1326
1582015219,1334,1334
1582017162,1334,1334
1582019056,1329,1329
1582020990,1327,1327
1582022916,1311,1311
1582024811,1313,1313
1582026767,1328,1328
1582028684,1324,1324
1582030572,1340,1340
1582032491,1341,1341
1582034632,1345,1345
1582036621,1346,1346
1582038514,1343,1343
1582040415,1350,1350
1582042351,1354,1354
1582044255,1359,1359
1582046190,1368,1368
1582048113,1380,1380
1582050014,1382,1382
1582051952,1380,1380
1582053876,1377,1377
1582055774,1384,1384
1582057693,1379,1379
1582059693,1373,1373
1582061540,1380,1380
1582063507,1385,1385
1582065375,1386,1386
1582067558,1368,1368
1582069459,1357,1357
1582071374,1347,1347
1582073334,1331,1331
1582075211,1321,1321
1582077131,1351,1351
1582079069,1351,1351
1582080973,1356,1356
1582082928,1353,1353
1582084990,1360,1360
1582086992,1355,1355
1582088902,1365,1365
1582090827,1373,1373
1582092755,1387,1387
1582094654,1386,1386
1582096578,1377,1377
1582098512,1298,1298
1582100413,1296,1296
1582102332,1300,1300
1582104258,1301,1301
1582106172,1319,1319
1582108110,1319,1319
1582110187,1325,1325
1582112183,1343,1343
1582114109,1339,1339
1582116013,1343,1343
1582117939,1341,1341
1582119870,1345,1345
1582121773,1294,1294
1582123695,1301,1301
1582125624,1307,1307
1582127531,1300,1300
1582129454,1292,1292
1582131405,1291,1291
1582133292,1278,1278
1582135291,1276,1276
1582137156,1280,1280
1582139093,1280,1280
1582141239,1288,1288
1582143139,1280,1280
1582145071,1273,1273
1582146989,1281,1281
1582149150,1286,1286
1582151179,1281,1281
1582152990,1277,1277
1582154892,1290,1290
1582158011,1309,1309
1582159949,1312,1312
1582161868,1311,1311
1582163774,1283,1283
1582165982,1290,1290
1582168003,1277,1277
1582170032,1280,1280
1582171939,1287,1287
1582173874,1278,1278
1582175788,1269,1269
1582177939,1268,1268
1582179874,1269,1269
1582181808,1265,1265
1582183695,1267,1267
1582185802,1270,1270
1582187775,1283,1283
1582189711,1279,1279
1582191618,1278,1278
1582193823,1281,1281
1582195700,1277,1277
1582197638,1262,1262
1582199544,1250,1250
1582201463,1246,1246
1582203395,1240,1240
1582205298,1234,1234
1582208178,1230,1230
1582210103,1225,1225
1582212056,1226,1226
1582213937,1228,1228
1582215857,1246,1246
1582217795,1245,1245
1582219698,1240,1240
1582221869,1238,1238
1582223774,1256,1256
1582225958,1307,1307
1582227854,1305,1305
1582229775,1308,1308
1582231714,1314,1314
1582233617,1310,1310
1582235548,1293,1293
1582237468,1286,1286
1582239370,1290,1290
1582241291,1291,1291
1582243432,1283,1283
1582245420,1279,1279
1582247308,1270,1270
1582249215,1282,1282
1582251147,1292,1292
1582253057,1285,1285
1582254977,1282,1282
1582256914,1274,1274
1582258812,1266,1266
1582260746,1277,1277
1582262679,1283,1283
1582264572,1285,1285
1582266808,1288,1288
1582268791,1286,1286
1582270814,1300,1300
1582272748,1301,1301
1582274652,1289,1289
1582276631,1292,1292
1582278539,1295,1295
1582280423,1296,1296
1582282342,1303,1303
1582284259,1312,1312
1582286189,1310,1310
1582288125,1308,1308
1582290339,1308,1308
1582292189,1308,1308
1582294107,1316,1316
1582296019,1325,1325
1582297977,1303,1303
1582299871,1310,1310
1582301774,1309,1309
1582303716,1291,1291
1582305612,1286,1286
1582307549,1281,1281
1582309472,1271,1271
1582311390,1273,1273
1582313296,1215,1215
1582315515,1218,1218
1582317390,1232,1232
1582320270,1230,1230
1582322198,1237,1237
1582324096,1242,1242
1582326063,1238,1238
1582327933,1242,1242
1582329775,1240,1240
1582331788,1251,1251
1582333703,1248,1248
1582335620,1240,1240
1582337550,1243,1243
1582339459,1240,1240
1582341379,1247,1247
1582343311,1254,1254
1582345223,1267,1267
1582347132,1252,1252
1582349075,1255,1255
1582351001,1243,1243
1582352914,1242,1242
1582354987,1234,1234
1582356990,1223,1223
1582358898,1228,1228
1582360875,1218,1218
1582363002,1229,1229
1582364901,1220,1220
1582366828,1217,1217
1582368734,1212,1212
1582370656,1198,1198
1582372588,1213,1213
1582374503,1245,1245
1582376634,1247,1247
1582378611,1253,1253
1582380506,1252,1252
1582382423,1263,1263
1582384342,1298,1298
1582386270,1302,1302
1582388204,1314,1314
1582390099,1322,1322
1582392027,1326,1326
1582393954,1329,1329
1582395880,1335,1335
1582397788,1345,1345
1582399693,1343,1343
1582401787,1336,1336
1582403771,1334,1334
1582405721,1325,1325
1582407654,1331,1331
1582409539,1348,1348
1582411474,1334,1334
1582413380,1344,1344
1582415326,1350,1350
1582417220,1345,1345
1582419132,1346,1346
1582421072,1342,1342
1582422979,1341,1341
1582424894,1337,1337
1582427152,1350,1350
1582429039,1341,1341
1582430925,1345,1345
1582432816,1350,1350
1582434753,1353,1353
1582436656,1348,1348
1582438582,1355,1355
1582440516,1366,1366
1582442425,1373,1373
1582444337,1368,1368
1582446270,1373,1373
1582448198,1379,1379
1582450094,1349,1349
1582452299,1339,1339
1582454192,1349,1349
1582456107,1359,1359
1582458077,1350,1350
1582459981,1329,1329
1582461885,1704,1704
1582463792,1701,1701
1582465715,1699,1699
1582467616,1696,1696
1582469537,1667,1667
1582471517,1657,1657
1582473394,1662,1662
1582475310,1658,1658
1582477460,1652,1652
1582479390,1652,1652
1582481312,1657,1657
1582483275,1661,1661
1582485158,1664,1664
1582487077,1665,1665
1582488983,1665,1665
1582490917,1664,1664
1582492843,1675,1675
1582494739,1683,1683
1582496669,1677,1677
1582498572,1682,1682
1582500492,1679,1679
1582503373,1678,1678
1582505328,1671,1671
1582507236,1661,1661
1582509131,1657,1657
1582511067,1652,1652
1582512984,1637,1637
1582515142,1630,1630
1582517092,1629,1629
1582518989,1623,1623
1582520907,1625,1625
1582522820,1621,1621
1582524748,1613,1613
1582526660,1609,1609
1582528605,1607,1607
1582530522,1599,1599
1582532416,1597,1597
1582534336,1607,1607
1582536270,1619,1619
1582538193,1619,1619
1582540135,1628,1628
1582542144,1636,1636
1582544185,1638,1638
1582546095,1644,1644
1582548013,1226,1226
1582549950,1227,1227
1582552163,1234,1234
1582554049,1242,1242
1582555949,1242,1242
1582557859,1242,1242
1582559795,1246,1246
1582561695,1264,1264
1582563699,1259,1259
1582565562,1263,1263
1582567500,1273,1273
1582569373,1266,1266
1582571302,1576,1576
1582573216,1824,1824
1582575153,1827,1827
1582577059,1840,1840
1582578974,1837,1837
1582580913,1823,1823
1582582810,1822,1822
1582584729,1818,1818
1582586671,1816,1816
1582588572,1825,1825
1582590493,1831,1831
1582592537,1831,1831
1582594606,1845,1845
1582596500,1846,1846
1582598413,1855,1855
1582600343,1861,1861
1582602256,1868,1868
1582604415,1879,1879
1582606333,1887,1887
1582608271,1891,1891
1582610171,1891,1891
1582612102,1895,1895
1582614154,1892,1892
1582616189,1896,1896
1582618093,1904,1904
1582620016,1904,1904
1582621950,1892,1892
1582623882,1904,1904
1582626020,1955,1955
1582627932,1952,1952
1582629885,1948,1948
1582631774,1946,1946
1582633689,1945,1945
1582636604,1943,1943
1582638528,1935,1935
1582640422,1944,1944
1582642332,1949,1949
1582644281,1949,1949
1582646208,1930,1930
1582648125,1921,1921
1582650232,1930,1930
1582652174,1933,1933
1582654106,1926,1926
1582656012,1889,1889
1582657934,1580,1580
1582659866,1381,1381
1582661787,1382,1382
1582663715,1385,1385
1582665626,1390,1390
1582667571,1398,1398
1582669456,1393,1393
1582671382,1398,1398
1582673295,1402,1402
1582675370,1411,1411
1582677382,1418,1418
1582679296,1423,1423
1582681210,1430,1430
1582683145,1440,1440
1582685061,1435,1435
1582686974,1429,1429
1582688905,1433,1433
1582690810,1442,1442
1582692811,1434,1434
1582694704,1439,1439
1582696576,1454,1454
1582698526,1443,1443
1582701395,1433,1433
1582703294,1438,1438
1582705227,1453,1453
1582707160,1458,1458
1582709051,1465,1465
1582710985,1414,1414
1582712929,1410,1410
1582715776,1419,1419
