DateTime,AddedIPs,RemovedIPs
1582254121,29,48
1582255321,24,34
1582256521,27,0
1582257721,39,46
1582258321,18,0
1582258921,34,56
1582259522,23,0
1582260122,29,0
1582261321,30,57
1582261922,32,0
1582262521,27,0
1582263122,36,36
1582263722,31,0
1582264922,23,47
1582266122,11,34
1582266721,31,0
1582267921,29,26
1582268522,30,40
1582269721,16,29
1582270921,26,51
1582272121,31,27
1582273322,25,62
1582274521,32,0
1582275721,29,88
1582276921,37,0
1582277521,23,30
1582278722,32,44
1582279922,27,25
1582281122,34,40
1582282321,24,77
1582282921,22,0
1582283521,32,0
1582284121,30,42
1582285322,29,27
1582286521,27,72
1582287721,34,18
1582288921,22,62
1582290122,18,35
1582291321,34,32
1582291921,29,36
1582293121,23,26
1582293721,35,31
1582294321,24,0
1582294921,31,0
1582295521,28,32
1582296122,11,30
1582297321,26,17
1582297921,27,0
1582298521,12,0
1582299121,27,15
1582300321,25,0
1582300921,31,31
1582301521,25,14
1582302122,37,0
1582303321,25,26
1582304521,27,60
1582305121,27,69
1582305721,31,0
1582306321,26,0
1582307522,18,45
1582308121,26,0
1582309321,26,72
1582309921,27,18
1582310521,24,0
1582311722,25,61
1582312921,27,31
1582314121,27,49
1582315322,33,0
1582315921,20,35
1582316521,25,0
1582317121,28,26
1582317721,32,0
1582318921,25,17
1582319521,23,21
1582320721,20,24
1582321322,28,62
1582322521,27,0
1582323722,21,58
1582324321,35,32
1582325521,26,9
1582326722,23,13
1582327322,24,0
1582327922,29,85
1582329121,22,0
1582329721,23,29
1582330921,32,0
1582331521,20,64
1582332121,26,28
1582332721,20,21
1582334521,29,0
1582335121,34,49
1582336321,26,0
1582336922,20,32
1582338121,27,21
1582339321,52,31
1582339921,18,0
1582341721,25,23
1582342321,33,28
1582343521,39,21
1582344121,34,0
1582345322,26,52
1582345921,34,72
1582346522,29,0
1582347721,25,26
1582348921,32,37
1582350121,22,33
1582351321,29,30
1582352522,26,26
1582353721,30,68
1582354921,29,55
1582355521,34,44
1582356721,39,0
1582357321,28,0
1582358521,14,27
1582359721,26,30
1582360921,24,59
1582362122,23,20
1582362721,30,0
1582363322,26,31
1582364521,35,0
1582365121,28,23
1582365721,30,15
1582366322,19,0
1582366922,21,28
1582367521,8,0
1582368122,31,26
1582369321,24,63
1582369921,22,23
1582370521,29,0
1582371121,21,16
1582371721,21,18
1582372322,17,0
1582372921,25,0
1582373522,31,27
1582374721,37,38
1582375921,20,26
1582376522,18,21
1582377121,24,0
1582377722,26,0
1582378921,21,58
1582380121,29,14
1582381321,28,30
1582381921,26,31
